TAPE_ID,LINE NUM,SEQUENCE,num_of_files,FILE_NUM_START,FILE_NUM_END,DATA_SIZE
D04558,NA,1of41,-7991,9001,1010,6.7342
D04559,NA,2of41,918,1011,1929,7.9011
D04560,NA,3of41,417,1930,2347,3.3654
D04561,NA,4of41,-6932,8001,1069,7.1617
D04562,NA,5of41,859,1070,1929,8.2266
D04563,NA,6of41,-5258,8001,2743,8.0264
D04564,NA,7of41,808,2744,3552,7.6991
D04565,NA,8of41,-3638,8001,4363,5.7161
D04566,NA,9of41,-6938,8001,1063,7.3882
D04567,NA,1of32,845,1064,1909,8.2218
D04568,NA,2of32,765,1911,2676,7.5877
D04569,NA,3of32,403,2677,3080,3.9842
D04569,NA,1of30,403,2677,3080,3.9842
D04569,NA,1of30,724,2677,3401,7.2208
D04570,NA,2of30,750,3402,4152,7.3992
D04571,NA,3of30,-2919,8001,5082,8.2603
D04572,NA,4of30,621,5084,5705,3.5093
D04573,NA,5of30,-7141,8001,860,6.9168
D04574,NA,6of30,768,861,1629,7.5436
D04575,NA,7of30,745,1630,2375,7.4095
D04576,NA,8of30,-4819,8001,3182,8.0034
D04577,NA,9of30,813,3183,3996,8.0125
D04578,NA,10of30,805,3997,4802,7.0485
D04579,NA,11of30,755,4803,5558,7.3832
D04580,NA,12of30,895,5559,6454,7.6373
D04581,NA,13of30,-2493,8001,5508,8.0951
D04582,NA,14of30,744,5509,6253,7.4046
D04583,NA,15of30,664,6254,6918,6.6935
D04584,NA,16of30,649,6919,7568,6.4445
D04585,NA,17of30,245,8001,8246,6.6996
D04586,NA,18of30,-7998,8247,249,6.6756
D04587,NA,19of30,781,250,1031,7.2369
D04588,NA,20of30,680,1037,1717,4.633
D04589,NA,21of30,1133,1,1134,5.7108
D04590,NA,22of30,1065,1243,2308,7.0644
D04591,NA,23of30,-4610,8001,3391,6.292
D04592,NA,24of30,969,3392,4361,6.4065
